carat,cut,color,clarity,depth,table,price,x,y,z
0.84,Very Good,D,VS1,60.6,57.0,4443,6.06,6.15,3.7
0.95,Premium,F,SI2,58.4,57.0,2867,6.49,6.41,3.77
0.33,Premium,E,VVS2,61.3,59.0,741,4.44,4.47,2.73
0.25,Ideal,G,VVS1,62.6,56.0,582,4.01,4.05,2.52
0.31,Ideal,E,VVS2,61.0,56.0,1046,4.43,4.39,2.69
0.5,Very Good,G,SI1,60.0,63.0,1197,5.06,5.1,3.05
1.0,Premium,D,SI2,61.6,58.0,4626,6.45,6.37,3.95
0.4,Ideal,F,VVS2,61.7,56.0,1163,4.74,4.72,2.92
0.41,Ideal,F,VS2,60.8,56.0,863,4.8,4.81,2.92
0.61,Premium,F,VVS2,59.7,58.0,2392,5.56,5.53,3.31
0.81,Ideal,E,SI1,62.4,57.0,3109,5.92,5.97,3.71
0.32,Ideal,G,VS2,59.8,57.0,561,4.43,4.46,2.66
0.56,Ideal,G,VS1,60.8,55.0,1837,5.34,5.36,3.25
0.5,Very Good,H,VS1,62.5,58.0,1410,5.04,5.1,3.17
0.31,Premium,G,VS2,62.2,59.0,544,4.3,4.35,2.69
0.38,Ideal,D,SI2,61.1,56.0,633,4.65,4.71,2.86
0.27,Good,E,VS1,57.5,63.0,377,4.24,4.28,2.45
0.79,Ideal,F,SI1,62.0,55.0,3081,5.93,5.95,3.68
1.0,Very Good,F,VS2,62.9,59.0,5929,6.3,6.33,3.97
1.0,Premium,E,SI2,62.2,59.0,4390,6.38,6.35,3.96
0.7,Ideal,F,VVS1,61.0,56.0,4951,5.72,5.75,3.5
0.58,Ideal,D,VS1,61.4,57.0,2067,5.41,5.34,3.3
0.72,Premium,J,SI1,60.4,61.0,1579,5.87,5.82,3.53
0.54,Ideal,D,VVS2,61.3,56.0,2671,5.22,5.26,3.21
0.73,Ideal,G,VVS1,61.3,56.0,3667,5.79,5.82,3.56
0.31,Premium,I,SI1,62.3,58.0,537,4.38,4.35,2.72
0.43,Premium,D,SI1,60.1,58.0,830,4.89,4.93,2.95
0.3,Ideal,H,IF,61.8,55.0,1013,4.31,4.3,2.66
0.54,Ideal,G,VVS2,61.4,55.0,1985,5.22,5.3,3.23
0.41,Very Good,E,VVS2,63.1,58.0,1133,4.75,4.72,2.99
1.13,Ideal,E,VVS2,61.4,57.0,11115,6.69,6.74,4.12
0.39,Good,E,VVS2,61.5,61.0,943,4.73,4.74,2.91
0.7,Good,H,VS2,59.7,57.0,2347,5.75,5.8,3.45
1.51,Very Good,F,VVS2,63.1,56.0,17317,7.32,7.26,4.6
2.0,Premium,F,SI1,62.6,59.0,18493,8.1,8.04,5.05
0.71,Ideal,E,VVS1,62.3,55.0,4231,5.68,5.72,3.55
0.74,Ideal,F,VS1,61.7,56.0,3170,5.83,5.78,3.58
1.21,Fair,E,SI2,65.6,59.0,4926,6.62,6.56,4.32
0.36,Premium,E,VS2,62.0,58.0,1013,4.56,4.54,2.82
0.57,Ideal,F,VS2,60.7,56.0,2096,5.37,5.41,3.27
0.9,Ideal,H,VS2,62.5,53.0,4369,6.17,6.22,3.87
0.53,Ideal,D,VS2,62.6,56.0,1956,5.18,5.14,3.23
0.65,Very Good,I,VVS2,61.3,59.3,1828,5.52,5.59,3.4
1.55,Very Good,G,SI2,61.9,60.0,8873,7.31,7.36,4.54
0.41,Premium,H,VVS2,59.8,60.0,999,4.86,4.79,2.88
0.72,Ideal,E,SI1,60.3,55.0,3012,5.85,5.89,3.54
0.51,Premium,G,SI1,60.3,61.0,1312,5.19,5.12,3.11
0.91,Fair,H,SI1,65.8,58.0,2854,6.04,6.01,3.96
0.92,Very Good,H,VS1,59.7,63.0,4721,6.34,6.29,3.77
1.01,Very Good,F,SI2,61.0,60.0,4121,6.44,6.48,3.94
2.01,Good,I,VS2,63.6,57.0,16003,7.87,7.95,5.03
1.65,Premium,G,I1,62.0,59.0,6788,7.53,7.57,4.68
0.31,Ideal,G,VVS1,60.8,56.0,1046,4.39,4.36,2.66
0.31,Ideal,F,VVS1,61.4,56.0,840,4.37,4.4,2.69
0.3,Ideal,D,VVS1,61.1,57.0,1069,4.36,4.34,2.66
1.02,Very Good,H,SI2,63.4,63.0,3713,6.36,6.32,4.02
1.21,Ideal,G,VS1,62.5,57.0,6025,6.77,6.7,4.21
0.34,Ideal,E,SI1,61.4,54.0,765,4.53,4.5,2.77
1.0,Very Good,G,VVS2,63.0,56.0,7177,6.37,6.4,4.02
0.31,Premium,E,VS1,61.9,56.0,816,4.37,4.32,2.69
0.9,Very Good,D,SI1,62.8,59.0,4693,6.14,6.18,3.87
0.5,Good,G,SI2,63.8,57.0,1009,4.98,5.02,3.19
0.71,Premium,G,SI1,61.2,61.0,2386,5.71,5.66,3.48
1.06,Premium,H,SI1,61.0,58.0,5075,6.61,6.57,4.02
0.71,Ideal,E,VS2,59.5,57.0,3035,5.83,5.86,3.48
0.57,Good,F,SI2,61.9,57.7,1280,5.32,5.34,3.3
1.9,Ideal,I,SI2,60.9,55.0,12165,8.0,8.06,4.89
1.51,Premium,G,VS2,60.4,58.0,11480,7.38,7.43,4.47
0.36,Ideal,D,VS2,61.5,57.0,1094,4.58,4.56,2.81
1.01,Ideal,E,SI1,59.8,60.0,5751,6.56,6.48,3.9
2.32,Ideal,I,SI2,62.0,57.0,17516,8.45,8.49,5.25
1.01,Very Good,F,SI2,60.0,55.0,4425,6.56,6.53,3.93
0.59,Ideal,F,SI2,60.1,57.0,1371,5.45,5.49,3.29
0.36,Ideal,D,SI1,62.7,57.0,663,4.54,4.59,2.86
1.0,Good,F,SI2,56.7,60.0,3858,6.62,6.58,3.74
1.2,Premium,E,VS1,60.7,57.0,10053,6.89,6.81,4.16
0.9,Very Good,H,VS2,60.0,56.0,4255,6.3,6.34,3.79
1.54,Premium,I,SI2,60.1,61.0,7727,7.46,7.41,4.47
0.31,Ideal,G,SI1,61.8,55.0,493,4.38,4.42,2.72
1.09,Premium,G,SI1,62.5,59.0,4322,6.56,6.53,4.09
0.41,Premium,G,VVS1,59.7,60.0,1148,4.85,4.83,2.89
0.55,Ideal,D,VS2,61.0,56.0,1768,5.31,5.28,3.23
1.53,Premium,I,VS2,62.0,58.0,10013,7.36,7.41,4.58
0.92,Premium,I,VS2,60.9,58.0,3895,6.28,6.27,3.82
1.03,Premium,I,SI1,61.6,59.0,4362,6.46,6.49,3.99
0.7,Good,F,VS2,64.3,59.0,2373,5.6,5.56,3.59
0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64
1.5,Very Good,I,SI1,60.3,60.0,8127,7.46,7.43,4.49
0.58,Ideal,E,SI2,62.8,56.0,1346,5.3,5.37,3.35
1.02,Ideal,D,SI1,61.7,56.0,7564,6.4,6.49,3.97
0.54,Ideal,E,VS1,62.0,56.0,1939,5.17,5.25,3.23
1.3,Very Good,I,VS2,62.7,57.0,6290,6.88,6.9,4.32
0.46,Very Good,E,VS1,58.7,60.0,1452,5.08,5.15,3.0
1.0,Ideal,D,VS1,62.4,55.0,7966,6.4,6.43,4.0
1.04,Good,G,VS2,61.4,65.0,5535,6.53,6.47,3.99
1.19,Ideal,I,VS1,61.6,56.0,7328,6.81,6.83,4.2
0.5,Very Good,H,VVS2,62.9,56.0,1569,5.03,5.08,3.18
1.19,Ideal,I,IF,61.7,56.0,7207,6.78,6.81,4.19
1.22,Premium,E,SI1,62.3,59.0,7395,6.8,6.74,4.22
0.8,Ideal,D,SI1,62.2,57.0,3011,5.89,5.85,3.65
0.75,Ideal,G,VS2,60.6,55.0,2991,5.91,5.93,3.59
0.9,Good,F,VS2,65.0,58.0,4268,6.03,6.06,3.93
1.2,Very Good,F,VS1,61.6,61.0,9203,6.81,6.86,4.21
0.31,Ideal,G,SI2,61.6,55.6,429,4.34,4.37,2.69
1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64
1.5,Very Good,J,VS1,62.2,58.0,8014,7.19,7.27,4.5
1.0,Good,D,VS2,63.1,56.0,7114,6.36,6.4,4.02
0.3,Ideal,F,IF,62.2,53.0,886,4.34,4.38,2.71
0.38,Ideal,G,VVS1,61.7,55.0,993,4.67,4.7,2.89
1.7,Ideal,I,VS1,63.0,55.0,12030,7.75,7.54,4.76
1.04,Very Good,G,VS2,63.4,55.0,6232,6.48,6.42,4.09
0.7,Ideal,F,SI1,61.0,56.0,2700,5.75,5.72,3.5
0.53,Ideal,G,VS1,61.7,55.0,1727,5.22,5.18,3.21
1.09,Good,D,IF,58.7,61.0,16406,6.75,6.85,3.99
0.26,Ideal,I,VS1,61.6,54.0,578,4.08,4.12,2.53
0.7,Ideal,F,VS1,62.4,56.0,3199,5.67,5.65,3.53
0.77,Ideal,G,VS2,62.1,56.0,3544,5.84,5.88,3.64
1.01,Very Good,D,VS2,63.1,58.0,7448,6.34,6.38,4.01
2.22,Fair,J,I1,66.7,56.0,5607,8.04,8.02,5.36
0.7,Very Good,D,SI1,62.4,57.0,3075,5.64,5.67,3.53
1.01,Ideal,G,SI2,61.4,57.0,4803,6.44,6.48,3.97
0.92,Fair,F,SI2,65.1,58.0,3282,6.12,6.07,3.97
1.39,Premium,G,SI1,61.3,59.0,7991,7.24,7.15,4.41
0.57,Very Good,F,SI1,58.6,57.0,1364,5.37,5.59,3.21
1.01,Premium,F,VS2,62.4,58.0,6097,6.43,6.36,3.99
1.11,Very Good,D,SI2,59.9,57.0,5042,6.72,6.74,4.03
0.5,Premium,D,VS2,61.9,58.0,1752,5.04,5.1,3.14
0.71,Ideal,E,VVS2,62.0,57.0,4124,5.7,5.72,3.54
1.03,Ideal,G,VS2,61.1,57.0,7726,6.51,6.54,3.99
0.37,Ideal,F,VVS1,59.2,57.0,1406,4.75,4.71,2.8
0.78,Ideal,D,VS2,62.3,54.0,4183,5.87,5.91,3.67
0.67,Good,G,SI1,62.9,59.0,1811,5.58,5.62,3.52
0.9,Ideal,J,SI1,62.6,54.0,3102,6.16,6.23,3.88
0.31,Ideal,E,VS2,60.8,54.0,872,4.4,4.39,2.67
0.93,Premium,E,I1,62.3,60.0,2647,6.23,6.2,3.87
1.44,Good,G,VS1,63.6,58.0,9677,7.01,6.96,4.44
1.01,Premium,F,SI1,60.3,58.0,4829,6.53,6.61,3.96
0.51,Ideal,E,SI1,60.9,54.0,1355,5.17,5.21,3.16
0.38,Premium,E,VS2,59.2,60.0,1112,4.77,4.73,2.81
0.33,Good,G,SI1,63.2,57.0,492,4.39,4.44,2.79
0.51,Ideal,E,SI1,61.4,56.0,1377,5.15,5.17,3.17
0.63,Ideal,E,VVS1,62.4,56.0,3161,5.48,5.52,3.43
0.52,Premium,E,I1,60.8,60.0,1037,5.2,5.17,3.15
0.51,Ideal,D,VS2,62.2,58.0,1678,5.1,5.12,3.18
0.53,Ideal,H,SI1,61.5,54.0,1205,5.21,5.26,3.22
0.52,Ideal,G,VS2,61.7,56.0,1428,5.15,5.19,3.19
1.2,Premium,G,VS2,59.4,58.0,7258,6.91,6.85,4.09
0.74,Very Good,F,SI1,59.8,58.0,2583,5.89,5.94,3.54
1.0,Very Good,E,SI2,60.6,61.0,4312,6.39,6.44,3.89
2.07,Premium,I,SI2,60.5,60.0,15055,8.32,8.27,5.02
1.46,Fair,H,SI2,56.3,60.0,5723,7.61,7.55,4.27
1.13,Ideal,G,VS1,61.5,56.0,8051,6.71,6.73,4.13
0.9,Very Good,F,VS2,61.8,57.0,5218,6.16,6.23,3.83
0.8,Premium,G,IF,62.6,58.0,4193,5.93,5.89,3.7
0.53,Ideal,D,VVS1,62.5,54.0,2905,5.16,5.21,3.24
0.33,Ideal,E,VS1,60.6,57.0,781,4.5,4.54,2.74
0.43,Premium,G,VVS1,62.0,59.0,1207,4.8,4.82,2.98
0.73,Ideal,I,VS1,61.6,55.0,2596,5.77,5.79,3.56
0.9,Very Good,E,VS2,62.7,56.0,4858,6.13,6.21,3.87
0.32,Ideal,F,VS1,61.9,56.0,900,4.4,4.36,2.71
0.3,Premium,G,VVS1,61.7,58.0,789,4.26,4.3,2.64
1.16,Premium,F,SI2,62.4,59.0,5164,6.72,6.64,4.17
0.7,Very Good,G,SI1,59.1,62.0,2674,5.8,5.91,3.46
0.61,Very Good,E,SI1,62.1,55.0,1829,5.43,5.46,3.38
0.3,Ideal,G,VS1,61.7,57.0,776,4.32,4.3,2.66
0.41,Ideal,E,VS1,62.7,57.0,1153,4.76,4.72,2.97
1.23,Premium,H,VS2,60.6,59.0,6577,6.94,6.89,4.19
0.3,Very Good,E,SI1,61.9,58.0,526,4.27,4.33,2.66
1.52,Fair,H,SI1,61.2,60.0,8818,7.39,7.29,4.49
0.32,Premium,J,VS1,61.9,58.0,421,4.33,4.39,2.7
1.06,Premium,D,SI2,59.8,61.0,4483,6.63,6.58,3.95
1.8,Very Good,E,SI1,62.2,57.0,17273,7.81,7.89,4.88
0.3,Ideal,E,VS2,62.1,56.0,658,4.25,4.31,2.66
0.41,Ideal,I,VVS1,62.0,54.5,891,4.77,4.8,2.97
0.72,Ideal,F,SI2,61.9,57.0,2058,5.74,5.79,3.57
1.21,Ideal,I,VS1,61.7,53.0,7111,6.89,6.92,4.26
1.34,Premium,G,VVS2,61.3,58.0,11118,7.16,7.1,4.37
1.01,Premium,H,SI1,58.2,62.0,4191,6.54,6.48,3.78
1.7,Fair,G,VS2,64.5,58.0,14860,7.51,7.43,4.82
0.4,Very Good,E,SI1,61.7,60.0,687,4.68,4.72,2.9
1.56,Premium,J,VS2,61.7,58.0,7763,7.41,7.46,4.59
0.57,Very Good,F,VVS1,61.9,56.0,2591,5.31,5.34,3.29
0.3,Ideal,F,VVS1,62.4,56.0,1114,4.31,4.28,2.68
1.09,Fair,H,SI1,64.4,60.0,5085,6.49,6.42,4.16
0.34,Ideal,F,VVS2,61.8,56.0,712,4.47,4.49,2.77
1.0,Very Good,D,SI1,62.1,61.0,5390,6.3,6.32,3.92
0.32,Ideal,E,VS2,62.2,56.0,702,4.37,4.41,2.73
0.97,Ideal,I,I1,61.6,53.0,2239,6.4,6.43,3.95
0.42,Ideal,H,VS1,61.2,57.0,1048,4.87,4.8,2.96
0.52,Premium,G,VVS2,61.0,58.0,1707,5.15,5.21,3.16
0.52,Very Good,D,VS1,62.6,59.0,1860,5.03,5.13,3.18
1.01,Very Good,G,VS1,63.2,58.0,6618,6.38,6.34,4.02
1.15,Premium,G,SI1,62.2,56.0,5851,6.76,6.68,4.18
1.01,Ideal,I,SI1,60.0,60.0,4872,6.53,6.57,3.93
0.31,Ideal,D,VVS2,61.6,56.0,982,4.38,4.34,2.69
0.76,Premium,G,SI2,62.8,60.0,2364,5.81,5.79,3.64
0.91,Very Good,E,VS1,61.9,59.0,5259,6.17,6.23,3.84
0.28,Ideal,G,VVS1,62.7,55.0,522,4.16,4.2,2.62
1.01,Very Good,F,VS2,60.8,58.0,6288,6.44,6.49,3.93
0.33,Very Good,F,VS1,59.1,60.0,772,4.48,4.52,2.66
2.06,Ideal,I,VS2,59.2,57.0,15691,8.39,8.29,4.94
1.33,Ideal,J,VS1,61.3,57.0,6118,7.11,7.08,4.35
0.31,Very Good,E,SI1,63.4,55.0,651,4.29,4.26,2.71
0.73,Premium,H,VS2,61.0,58.0,2496,5.76,5.84,3.54
0.36,Ideal,G,VVS2,62.3,56.0,1053,4.56,4.53,2.83
0.71,Good,F,SI1,66.2,55.0,2396,5.49,5.53,3.65
1.0,Fair,G,VS2,69.8,54.0,4435,6.03,5.94,4.18
0.4,Good,H,VS2,59.4,64.0,945,4.82,4.75,2.84
0.9,Good,E,VS2,63.7,58.0,3948,6.06,6.09,3.87
0.37,Ideal,D,VS2,61.6,56.0,1124,4.63,4.59,2.84
0.5,Ideal,D,VS2,61.9,55.0,1690,5.09,5.12,3.16
0.3,Ideal,J,VVS1,61.8,56.0,464,4.31,4.33,2.67
0.72,Ideal,I,VS1,62.4,55.0,2868,5.72,5.75,3.58
0.31,Ideal,F,IF,62.1,55.0,914,4.32,4.38,2.7
0.32,Ideal,E,VS2,62.1,55.0,702,4.36,4.4,2.72
0.31,Ideal,D,SI2,62.0,56.0,462,4.33,4.35,2.69
1.53,Very Good,E,VS2,61.2,60.0,14282,7.49,7.4,4.56
1.02,Ideal,D,SI1,61.3,56.0,6157,6.48,6.53,3.99
0.71,Premium,F,SI2,60.2,60.0,2331,5.8,5.77,3.48
1.5,Very Good,J,VVS2,63.3,57.0,8427,7.28,7.25,4.6
0.4,Ideal,I,VVS1,62.3,53.7,870,4.72,4.74,2.95
0.71,Very Good,E,VS2,62.9,57.0,2964,5.68,5.7,3.58
0.46,Good,G,VVS2,60.2,60.5,1245,4.98,5.04,3.02
1.54,Premium,J,VVS2,61.1,59.0,8652,7.45,7.4,4.54
0.31,Very Good,G,VVS1,63.1,56.0,1046,4.35,4.33,2.74
0.56,Ideal,D,VS2,61.6,56.0,2066,5.31,5.27,3.26
0.32,Ideal,E,VVS2,61.5,57.0,842,4.4,4.41,2.71
2.01,Fair,J,SI1,64.4,61.0,11212,7.74,7.78,5.0
1.01,Ideal,D,VVS2,60.6,56.0,10797,6.53,6.48,3.94
0.43,Premium,F,SI1,62.6,58.0,792,4.77,4.81,3.0
0.9,Premium,H,VS2,62.3,58.0,3919,6.18,6.09,3.82
0.56,Very Good,F,VS1,61.2,58.0,1929,5.32,5.33,3.26
1.0,Very Good,H,VS2,64.7,56.0,5883,6.23,6.29,4.05
0.32,Premium,E,SI2,61.2,58.0,576,4.44,4.39,2.7
0.53,Ideal,G,VVS2,61.0,56.0,1946,5.21,5.25,3.19
0.41,Premium,H,SI1,60.9,60.0,683,4.79,4.83,2.93
1.0,Good,E,SI1,63.9,57.0,4573,6.31,6.34,4.04
0.55,Ideal,G,VVS1,60.0,56.0,2077,5.35,5.39,3.21
2.13,Premium,I,SI1,62.5,60.0,13370,8.18,8.13,5.1
1.24,Premium,G,VS1,62.0,59.0,7800,6.92,6.88,4.28
0.31,Ideal,I,VS1,61.9,53.9,502,4.35,4.38,2.7
1.28,Premium,H,SI2,61.9,56.0,5949,7.02,6.94,4.32
2.18,Ideal,I,SI2,62.5,55.0,15850,8.34,8.31,5.2
0.3,Premium,D,SI2,62.3,58.0,447,4.29,4.32,2.68
1.16,Premium,F,SI2,62.1,59.0,5072,6.71,6.76,4.18
0.92,Very Good,D,SI2,63.3,59.0,3823,6.18,6.12,3.89
0.41,Ideal,J,VS2,61.8,55.0,637,4.78,4.81,2.96
2.04,Premium,J,VS2,61.4,59.0,13477,8.04,8.14,4.97
1.5,Premium,I,SI2,62.8,57.0,7715,7.34,7.25,4.58
1.21,Ideal,H,VS2,62.6,54.8,7426,6.78,6.84,4.26
0.54,Premium,H,VVS1,62.0,57.0,1944,5.25,5.2,3.24
0.69,Good,F,SI1,58.4,61.7,1951,5.75,5.82,3.38
0.39,Very Good,E,VS1,62.5,58.0,914,4.67,4.7,2.93
1.64,Ideal,I,VS1,60.5,57.0,11305,7.68,7.62,4.64
0.4,Good,F,VVS2,62.2,63.0,936,4.66,4.69,2.91
1.01,Fair,G,VS2,64.4,58.0,4887,6.25,6.18,4.0
1.0,Good,E,SI1,61.6,62.0,5784,6.35,6.42,3.93
1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25
0.71,Very Good,F,VS1,62.8,56.0,2889,5.69,5.72,3.58
0.41,Premium,E,SI1,62.4,58.0,755,4.75,4.77,2.97
0.7,Fair,H,SI1,65.0,59.0,1803,5.54,5.5,3.59
1.1,Ideal,I,SI2,61.7,56.0,3216,6.65,6.6,4.09
0.55,Ideal,I,VS2,61.6,55.0,1281,5.27,5.29,3.25
1.0,Premium,H,SI1,59.0,60.0,4389,6.52,6.56,3.86
2.24,Premium,I,SI2,62.5,59.0,16097,8.36,8.28,5.2
0.33,Ideal,D,SI1,62.4,54.0,780,4.44,4.41,2.76
1.74,Good,H,SI1,60.6,62.0,12032,7.74,7.8,4.71
0.25,Very Good,F,VVS2,59.4,57.0,575,4.1,4.12,2.44
0.5,Premium,G,VVS2,62.1,61.0,1806,5.1,5.07,3.16
0.43,Ideal,G,VVS1,62.0,55.0,1207,4.82,4.85,3.0
0.31,Premium,D,SI2,62.9,59.0,593,4.31,4.28,2.7
0.5,Good,E,VS2,63.3,64.0,1348,4.98,5.0,3.16
0.91,Premium,H,VVS1,62.5,59.0,5032,6.16,6.19,3.86
1.02,Ideal,D,VVS2,62.2,59.0,11573,6.41,6.46,4.0
0.53,Ideal,F,VS1,60.4,57.0,1818,5.25,5.22,3.16
0.3,Ideal,G,VVS2,62.2,55.0,684,4.29,4.33,2.68
0.39,Ideal,F,VVS1,62.1,55.0,1124,4.69,4.71,2.92
0.58,Ideal,E,VS2,61.9,57.0,1884,5.33,5.37,3.31
0.53,Ideal,G,VS2,60.1,54.0,1607,5.31,5.3,3.19
0.91,Very Good,F,SI1,60.4,59.0,4437,6.22,6.26,3.77
0.3,Ideal,F,VS1,61.5,55.0,612,4.31,4.34,2.66
0.72,Ideal,G,VS2,61.0,55.0,3547,5.81,5.83,3.55
0.51,Ideal,H,VS1,62.0,56.0,1668,5.14,5.17,3.2
1.04,Very Good,G,IF,60.7,58.0,8655,6.52,6.65,4.0
1.28,Ideal,H,SI2,62.8,57.0,6451,6.92,6.87,4.33
1.05,Ideal,G,VS2,61.6,59.0,6981,6.51,6.54,4.02
0.29,Very Good,D,VVS2,62.9,58.0,664,4.2,4.29,2.67
0.5,Fair,D,VVS2,67.6,57.0,1980,4.95,4.84,3.31
1.11,Ideal,J,SI1,62.4,57.0,4497,6.57,6.6,4.11
0.49,Premium,H,SI2,59.9,59.0,1011,5.17,5.12,3.08
0.62,Ideal,E,VS2,62.0,54.5,2208,5.46,5.48,3.39
0.32,Ideal,G,VS1,62.5,57.0,718,4.37,4.34,2.72
0.4,Ideal,G,SI2,60.6,56.0,870,4.82,4.76,2.91
0.96,Ideal,F,VS1,61.2,56.0,5767,6.34,6.38,3.89
0.72,Premium,F,VS2,62.0,56.0,2724,5.78,5.68,3.55
0.43,Good,D,SI2,63.3,57.0,669,4.79,4.82,3.04
2.52,Fair,G,I1,66.9,57.0,10076,8.39,8.33,5.6
0.31,Very Good,G,VVS1,62.8,53.0,816,4.34,4.36,2.73
1.0,Premium,E,VS2,60.0,60.0,6720,6.43,6.43,3.89
0.5,Ideal,G,VVS1,62.2,56.0,1966,5.1,5.12,3.18
0.38,Premium,H,SI1,61.2,62.0,812,4.66,4.62,2.84
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57
0.26,Very Good,F,VVS1,62.0,59.0,597,4.08,4.15,2.55
1.0,Premium,E,SI2,61.1,58.0,4620,6.44,6.48,3.95
0.31,Premium,G,VS1,59.6,61.0,802,4.38,4.35,2.6
0.7,Ideal,D,SI1,62.0,54.0,2726,5.73,5.76,3.56
0.71,Very Good,J,SI2,60.9,55.0,1986,5.76,5.87,3.54
1.02,Very Good,H,VS2,63.3,55.0,4604,6.4,6.33,4.03
1.02,Very Good,H,SI1,61.2,57.0,4875,6.47,6.53,3.98
0.9,Premium,H,SI2,59.5,60.0,2927,6.32,6.29,3.75
0.9,Ideal,E,SI2,62.7,54.0,4091,6.13,6.21,3.87
1.02,Ideal,G,VS1,61.3,56.0,7192,6.49,6.53,3.99
1.05,Ideal,F,VVS1,61.4,57.0,12273,6.51,6.53,4.0
0.73,Premium,E,SI2,60.8,60.0,2409,5.87,5.78,3.54
0.25,Very Good,F,VVS2,60.1,57.0,633,4.1,4.13,2.47
1.11,Good,D,SI1,57.8,61.0,6088,6.83,6.78,3.93
0.7,Very Good,H,VS2,61.8,58.0,2042,5.66,5.73,3.52
0.33,Ideal,G,VVS1,62.4,56.0,820,4.41,4.45,2.76
0.5,Very Good,E,SI1,60.7,61.0,1316,5.09,5.12,3.1
0.59,Ideal,I,VVS1,61.0,55.0,1742,5.43,5.48,3.33
0.31,Good,E,VVS1,59.0,59.0,826,4.4,4.42,2.6
0.53,Very Good,E,SI2,63.0,57.0,1174,5.13,5.16,3.24
0.3,Very Good,D,SI1,61.0,61.0,552,4.27,4.29,2.61
0.71,Very Good,E,VS2,63.2,57.0,2437,5.66,5.63,3.56
1.0,Ideal,E,SI1,61.7,57.0,5555,6.39,6.42,3.95
0.8,Good,E,SI2,57.7,65.0,2640,6.13,6.08,3.52
0.54,Ideal,F,VS2,61.4,57.0,1786,5.25,5.2,3.21
0.3,Very Good,F,SI1,62.9,57.0,500,4.25,4.27,2.68
0.95,Ideal,H,SI1,61.9,56.0,4958,6.31,6.35,3.92
0.56,Ideal,I,VVS1,61.1,55.0,1743,5.35,5.33,3.26
1.51,Premium,I,SI2,61.3,55.0,6173,7.41,7.36,4.53
1.11,Fair,J,SI2,64.8,55.1,4056,6.44,6.55,4.21
0.32,Premium,G,VS2,60.1,61.0,672,4.44,4.41,2.66
0.6,Ideal,E,VS1,62.2,56.0,2306,5.36,5.44,3.36
0.9,Premium,D,VS2,62.6,59.0,4914,6.17,6.14,3.85
1.01,Very Good,G,SI1,62.4,60.0,4707,6.34,6.39,3.97
0.9,Ideal,H,SI1,61.6,56.0,4740,6.17,6.23,3.82
1.01,Very Good,E,VS2,58.1,60.0,6399,6.51,6.58,3.8
0.52,Ideal,I,VS2,61.9,55.0,1214,5.19,5.21,3.22
0.5,Very Good,H,SI1,60.9,61.0,1133,5.06,5.15,3.11
0.54,Ideal,H,VS1,61.5,56.0,1637,5.24,5.23,3.22
1.31,Premium,I,VS1,61.9,56.0,5759,7.07,6.98,4.35
0.37,Ideal,I,VVS2,61.9,54.0,632,4.62,4.66,2.87
0.56,Ideal,E,VS2,61.5,57.0,1819,5.27,5.3,3.25
1.0,Premium,E,I1,60.9,61.0,3584,6.41,6.37,3.89
0.56,Premium,I,VVS1,62.4,56.0,1698,5.28,5.24,3.28
0.32,Premium,G,VS1,60.6,60.0,645,4.4,4.44,2.68
0.63,Fair,H,SI2,64.7,61.0,1235,5.33,5.27,3.43
0.39,Ideal,F,SI1,61.3,56.0,707,4.73,4.77,2.91
1.52,Ideal,I,VS1,61.4,57.0,9483,7.42,7.38,4.54
0.9,Very Good,F,SI1,63.0,60.0,4232,6.09,6.13,3.85
0.3,Premium,J,VS1,62.6,60.0,394,4.22,4.28,2.66
1.06,Premium,I,SI1,61.9,57.0,4452,6.61,6.51,4.06
0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73
0.41,Premium,E,SI2,62.8,58.0,818,4.73,4.69,2.96
0.41,Ideal,F,VVS2,61.0,56.0,1192,4.82,4.78,2.93
1.5,Very Good,G,VS2,63.5,54.0,13239,7.26,7.22,4.6
0.59,Premium,G,VS1,62.5,53.0,1991,5.46,5.35,3.38
0.7,Premium,F,SI1,62.2,59.0,2423,5.73,5.69,3.55
2.0,Good,H,VS2,63.8,59.0,18023,7.88,8.01,5.07
0.3,Very Good,G,VVS2,62.7,56.0,684,4.24,4.31,2.68
1.55,Ideal,I,SI2,60.7,60.0,8056,7.49,7.46,4.54
1.08,Ideal,G,VS2,61.3,56.0,6706,6.62,6.59,4.05
0.39,Good,F,SI1,63.3,54.0,718,4.62,4.67,2.94
1.37,Premium,H,VS2,60.9,59.0,6337,7.22,7.17,4.38
1.5,Good,E,SI2,64.5,58.0,8492,7.06,7.11,4.57
0.99,Fair,J,SI1,58.0,67.0,2949,6.57,6.5,3.79
1.13,Ideal,E,SI1,62.2,55.0,6563,6.66,6.69,4.15
0.23,Very Good,E,VVS2,62.6,59.0,505,3.93,3.96,2.47
0.84,Fair,D,SI2,64.5,60.0,2167,5.92,5.84,3.79
0.6,Ideal,I,SI1,60.7,58.0,1295,5.43,5.45,3.3
0.39,Good,F,VS2,63.3,55.0,788,4.63,4.66,2.94
0.41,Ideal,E,VS1,61.2,56.0,1144,4.82,4.89,2.97
